观察期标签,delay_window_count,总窗口数,策略编号,策略名称,window_index,window_type,window_weight,会员收入,私教收入,积分成本,平台利润贡献,累计平台利润,窗口末续费概率提升,窗口末私教购买概率提升,窗口私教收入提升,窗口活跃提升,窗口线上活跃提升,窗口结算积分
L4,6,7,S2,均衡促活策略,5,delayed,1.0,9838353.013477573,93517.28581170023,0.0,3471478.740460661,17253607.172564227,65609.8296149773,28.70587937240514,7870.16469193167,23962.406503452024,71913.49238208256,0.0
L4,6,7,S2,均衡促活策略,6,delayed,1.0,9760545.63304069,88389.69170643316,0.0,3442707.8790761717,20696315.0516404,62827.92431618649,11.748066131094436,2742.570586664602,16773.68455241642,50339.44466745775,0.0
L4,6,7,S2,均衡促活策略,7,delayed,1.0,9692437.748783933,81906.15996498593,0.0,3416925.060063872,24113240.11170427,60338.304902358315,-9.73579122842357,-3740.9611547826353,11741.579186691493,35237.61126722045,0.0
L4,6,7,S3,私教转化强化策略,1,active,1.0,9998574.805257369,108552.48414130916,323755.3396197923,3208311.5874626795,3208311.5874626795,71476.08455841999,77.76328567183826,22905.363021540605,108827.98538464526,357697.14832179144,58864911.62040564
L4,6,7,S3,私教转化强化策略,2,delayed,1.0,9978290.893350426,107331.37793303555,0.0,3524601.22605256,6732912.813515239,70735.58285416634,73.78033590784949,21684.256813266984,76179.58976925166,250388.0038252539,0.0
L4,6,7,S3,私教转化强化策略,3,delayed,1.0,9941300.603828825,105758.08983479673,0.0,3511182.6382905273,10244095.451805767,69377.4819583397,68.69007809147014,20110.968715028168,53325.71283847616,175271.60267767776,0.0
L4,6,7,S3,私教转化强化策略,4,delayed,1.0,9898964.666821036,103435.94003953037,0.0,3495668.4153992217,13739763.867204988,67833.6584802859,61.22919668771469,17788.818919761805,37327.99898693331,122690.12187437438,0.0
L4,6,7,S3,私教转化强化策略,5,delayed,1.0,9855911.495024702,95410.86239877043,0.0,3478192.2819782766,17217956.149183266,66236.5524316659,34.90559969537213,9763.741279001872,26129.599290853304,85883.08531206212,0.0
L4,6,7,S3,私教转化强化策略,6,delayed,1.0,9794595.792340636,89448.61390320613,0.0,3454943.1114901844,20672899.26067345,64012.46410211391,15.25717062066813,3801.4927834375703,18290.71950359732,60118.15971844346,0.0
L4,6,7,S3,私教转化强化策略,7,delayed,1.0,9720025.865129653,83584.79528894606,0.0,3427084.4913820624,24099983.75205551,61305.87295603979,-4.283109317692993,-2062.325830822505,12803.50365251812,42082.71180291041,0.0
L4,6,7,S4,流失召回强化策略,1,active,1.0,10037588.970241684,110154.84747379874,455576.49851949443,3090626.0953072347,3090626.0953072347,72921.98279212984,83.23380161705099,24507.726354030165,162825.70510381323,505323.8358886201,75930144.40604764
L4,6,7,S4,流失召回强化策略,2,delayed,1.0,10003047.81631659,108726.32191181584,0.0,3533684.632284351,6624310.727591585,71639.79559228258,78.33492542804083,23079.200792047282,113977.99357266925,353726.685122034,0.0
L4,6,7,S4,流失召回强化策略,3,delayed,1.0,9984958.761821114,107459.69873307079,0.0,3526973.4762573107,10151284.203848897,70983.00323491677,74.23039788138925,21812.57761330223,79784.59550086845,247608.6795854239,0.0
L4,6,7,S4,流失召回强化策略,4,delayed,1.0,9948176.914789693,106024.75907613618,0.0,3513669.3478992335,13664953.55174813,69623.49047943996,69.58122277037765,20377.637956367616,55849.21685060793,173326.07570979666,0.0
L4,6,7,S4,流失召回强化策略,5,delayed,1.0,9905480.969136074,103736.21906625901,0.0,3498039.2049175035,17162992.756665632,68070.01187064155,62.23769728481109,18089.097946490452,39094.45179542551,121328.25299685766,0.0
L4,6,7,S4,流失召回强化策略,6,delayed,1.0,9864361.48824418,96520.99514597273,0.0,3481482.8194292546,20644475.57609489,66546.81052896418,38.50186590853343,10873.874026204168,27366.116256797886,84929.77709780037,0.0
L4,6,7,S4,流失召回强化策略,7,delayed,1.0,9804299.271279458,89948.30277588165,0.0,3458489.235780575,24102964.811875463,64357.59339352302,16.91504050725423,4301.181656113084,19156.281379758515,59450.84396846024,0.0
L4,6,7,S5,高强度综合激励策略,1,active,1.0,10093591.118145987,111681.44319635516,788873.9182760085,2777387.4060339937,2777387.4060339937,75026.47109962556,88.23806327148063,26034.322076586603,300700.2620301726,961848.0322160486,112697319.68047889
L4,6,7,S5,高强度综合激励策略,2,delayed,1.0,10061402.844659502,110409.5635575859,0.0,3554613.8646981013,6332001.270732095,73810.8367360565,84.12308757161,24762.442437817343,210490.1834211208,673293.622551234,0.0
L4,6,7,S5,高强度综合激励策略,3,delayed,1.0,10030524.169546543,109790.76612642701,0.0,3543620.689179218,9875621.959911313,72668.99180012995,81.97825644992149,24143.64500665845,147343.12839478458,471305.5357858635,0.0
L4,6,7,S5,高强度综合激励策略,4,delayed,1.0,9997378.691469137,108378.69501334,0.0,3531596.1505181994,13407218.110429512,71428.60150817953,77.16143105118401,22731.573893571433,103140.18987634916,329913.87505010463,0.0
L4,6,7,S5,高强度综合激励策略,5,delayed,1.0,9977240.596858308,107210.5491505084,0.0,3524197.37364556,16931415.484075073,70696.53484239207,73.37483694411546,21563.428030739844,72198.13291344441,230939.71253507302,0.0
L4,6,7,S5,高强度综合激励策略,6,delayed,1.0,9939896.997755388,105554.6364466266,0.0,3510630.3401483735,20442045.824223448,69355.04286365592,68.01719907372426,19907.515326858032,50538.69303941108,161657.7987745512,0.0
L4,6,7,S5,高强度综合激励策略,7,delayed,1.0,9896928.726889426,103135.14070331736,0.0,3494865.5966222943,23936911.420845743,67760.80108935757,60.25240126678861,17488.019583548798,35377.08512758774,113160.45914218579,0.0
L4,8,9,S0,无积分基准策略,1,active,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,2852303.474602267,0.0,0.0,0.0,0.0,0.0,0.0
L4,8,9,S0,无积分基准策略,2,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0
L4,8,9,S0,无积分基准策略,3,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,8556910.423806801,0.0,0.0,0.0,0.0,0.0,0.0
L4,8,9,S0,无积分基准策略,4,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,11409213.898409069,0.0,0.0,0.0,0.0,0.0,0.0
